CODIGO;NOMBRE_DE_LA_ZONA;PROVINCIA;TEMP_MAX_AMARILLO;TEMP_MAX_NARANJA;TEMP_MAX_ROJO;TEMP_MIN_AMARILLO;TEMP_MIN_NARANJA;TEMP_MIN_ROJO;RACHA_MAX_AMARILLO;RACHA_MAX_NARANJA;RACHA_MAX_ROJO;PRECIP_12H_AMARILLO;PRECIP_12H_NARANJA;PRECIP_12H_ROJO;PRECIP_1H_AMARILLO;PRECIP_1H_NARANJA;PRECIP_1H_ROJO;NIEVE_24H_AMARILLO;NIEVE_24H_NARANJA;NIEVE_24H_ROJO
624403;Bajo Aragón de Teruel;Teruel;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
625001;Cinco Villas de Zaragoza;Zaragoza;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
625002;Ibérica zaragozana;Zaragoza;36;39;42;-4;-8;-12;80;100;140;40;80;120;15;30;60;5;20;40
625003;Ribera del Ebro de Zaragoza;Zaragoza;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
633301;Litoral occidental asturiano;Asturias;34;37;40;-1;-4;-8;90;110;140;40;80;120;15;30;60;2;5;20
633302;Litoral oriental asturiano;Asturias;34;37;40;-1;-4;-8;90;110;140;40;80;120;15;30;60;2;5;20
633303;Suroccidental asturiana;Asturias;34;37;40;-6;-10;-14;90;110;140;40;80;120;15;30;60;5;20;40
633304;Central y Valles Mineros;Asturias;34;37;40;-4;-8;-12;90;110;140;40;80;120;15;30;60;2;5;20
633305;Cordillera y Picos de Europa;Asturias;34;37;40;-6;-10;-14;90;110;140;40;80;120;15;30;60;5;20;40
645301;Ibiza y Formentera;Ibiza y Formentera;36;39;42;-1;-4;-8;70;90;120;60;100;180;20;40;90;2;5;20
645401;Sierra Tramontana;Mallorca;36;39;42;-1;-4;-8;70;90;120;60;100;180;20;40;90;2;5;20
645402;Norte y nordeste de Mallorca;Mallorca;36;39;42;-1;-4;-8;70;90;120;60;100;180;20;40;90;2;5;20
645403;Interior de Mallorca;Mallorca;36;39;42;-1;-4;-8;70;90;120;60;100;180;20;40;90;2;5;20
645404;Sur de Mallorca;Mallorca;36;39;42;-1;-4;-8;70;90;120;60;100;180;15;30;60;2;5;20
645405;Levante mallorquín;Mallorca;36;39;42;-1;-4;-8;70;90;120;60;100;180;20;40;90;2;5;20
645501;Menorca;Menorca;36;39;42;-1;-4;-8;70;90;120;60;100;180;20;40;90;2;5;20
659001;Norte de Gran Canaria;Las Palmas;34;37;40;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
659003;Cumbres de Gran Canaria;Las Palmas;34;37;40;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
659004;"Este, sur y oeste de Gran Canaria";Las Palmas;34;37;40;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
659101;Lanzarote;Las Palmas;34;37;40;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
659201;Fuerteventura;Las Palmas;34;37;40;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
659302;Cumbres de la Palma;Sta. Cruz de Tenerife;34;37;40;-1;-4;-8;70;90;130;60;100;180;15;30;60;2;5;20
659303;Este de la Palma;Sta. Cruz de Tenerife;34;37;40;-1;-4;-8;70;90;130;60;100;180;15;30;60;2;5;20
659304;Oeste de la Palma;Sta. Cruz de Tenerife;34;37;40;-1;-4;-8;70;90;130;60;100;180;15;30;60;2;5;20
659401;La Gomera;Sta. Cruz de Tenerife;34;37;40;-1;-4;-8;70;90;130;60;100;180;15;30;60;2;5;20
659501;El Hierro;Sta. Cruz de Tenerife;34;37;40;-1;-4;-8;70;90;130;60;100;180;15;30;60;2;5;20
659601;Norte de Tenerife;Sta. Cruz de Tenerife;34;37;40;-1;-4;-8;70;90;130;60;100;180;15;30;60;2;5;20
659603;"Este, sur y oeste de Tenerife";Sta. Cruz de Tenerife;34;37;40;-1;-4;-8;70;90;130;60;100;180;15;30;60;2;5;20
663901;Litoral cántabro;Cantabria;34;37;40;-1;-4;-8;90;110;140;40;80;120;15;30;60;2;5;20
663902;Liébana;Cantabria;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
663903;Centro y valle de Villaverde;Cantabria;34;37;40;-4;-8;-12;90;110;140;40;80;120;15;30;60;2;5;20
663904;Cantabria del Ebro;Cantabria;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
670501;Meseta de Ávila;Ávila;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
670502;Sistema Central de Ávila;Ávila;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
670503;Sur de Ávila;Ávila;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
670901;Cordillera Cantábrica de Burgos;Burgos;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
670902;Norte de Burgos;Burgos;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
670903;Condado de Treviño;Burgos;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
670904;Meseta de Burgos;Burgos;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
670905;Ibérica de Burgos;Burgos;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
672401;Cordillera Cantábrica de León;León;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
672402;Bierzo de León;León;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
672403;Meseta de León;León;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
673401;Cordillera Cantábrica de Palencia;Palencia;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
673402;Meseta de Palencia;Palencia;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
673702;Sistema Central de Salamanca;Salamanca;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
673703;Sur de Salamanca;Salamanca;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
674001;Meseta de Segovia;Segovia;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
674002;Sistema Central de Segovia;Segovia;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
674201;Ibérica de Soria;Soria;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
674202;Meseta de Soria;Soria;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
674203;Sistema Central de Soria;Soria;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
674701;Meseta de Valladolid;Valladolid;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
674901;Sanabria;Zamora;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
674902;Meseta de Zamora;Zamora;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
680201;La Mancha albaceteña;Albacete;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
680202;Alcaraz y Segura;Albacete;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;5;20;40
680203;Hellín y Almansa;Albacete;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
681301;Montes del norte y Anchuras;Ciudad Real;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;5;20;40
681302;La Mancha de Ciudad Real;Ciudad Real;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
681303;Valle del Guadiana;Ciudad Real;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
681304;Sierras de Alcudia y Madrona;Ciudad Real;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;5;20;40
681601;Alcarria conquense;Cuenca;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
681602;Serranía de Cuenca;Cuenca;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
681603;La Mancha conquense;Cuenca;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
681901;Serranía de Guadalajara;Guadalajara;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
681902;Parameras de Molina;Guadalajara;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
681903;Alcarria de Guadalajara;Guadalajara;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
684501;Sierra de San Vicente;Toledo;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;5;20;40
684503;Montes de Toledo;Toledo;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;5;20;40
684504;La Mancha toledana;Toledo;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
690801;Prepirineo de Barcelona;Barcelona;34;37;40;-6;-10;-14;70;90;130;60;100;180;20;40;90;5;20;40
690802;Depresión central de Barcelona;Barcelona;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
690803;Prelitoral de Barcelona;Barcelona;36;39;42;-4;-8;-12;70;90;130;60;100;180;20;40;90;2;5;20
690804;Litoral de Barcelona;Barcelona;34;37;40;-1;-4;-8;70;90;130;60;100;180;20;40;90;2;5;20
691701;Pirineo de Girona y Llivia;Girona;34;37;40;-6;-10;-14;80;100;140;60;100;180;20;40;90;5;20;40
691702;Prelitoral de Girona;Girona;36;39;42;-4;-8;-12;70;90;130;60;100;180;20;40;90;2;5;20
691703;Ampurdán;Girona;34;37;40;-1;-4;-8;80;100;140;60;100;180;20;40;90;2;5;20
691704;Litoral sur de Girona;Girona;34;37;40;-1;-4;-8;70;90;130;60;100;180;20;40;90;2;5;20
692501;Valle de Arán;Lleida;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
692502;Pirineo de Lleida;Lleida;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
692503;Depresión central de Lleida;Lleida;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
694301;Depresión central de Tarragona;Tarragona;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
694302;Prelitoral norte de Tarragona;Tarragona;36;39;42;-4;-8;-12;70;90;130;60;100;180;20;40;90;2;5;20
694305;Prelitoral sur de Tarragona;Tarragona;36;39;42;-4;-8;-12;70;90;130;60;100;180;20;40;90;2;5;20
694303;Litoral norte de Tarragona;Tarragona;34;37;40;-1;-4;-8;70;90;130;60;100;180;20;40;90;2;5;20
694304;Litoral sur de Tarragona;Tarragona;34;37;40;-1;-4;-8;80;100;140;60;100;180;20;40;90;2;5;20
700601;Vegas del Guadiana;Badajoz;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
700602;La Siberia extremeña;Badajoz;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
700603;Barros y Serena;Badajoz;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
700604;Sur de Badajoz;Badajoz;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
701001;Norte de Cáceres;Cáceres;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;5;20;40
701002;Tajo y Alagón;Cáceres;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
701003;Meseta cacereña;Cáceres;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
701004;Villuercas y Montánchez;Cáceres;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
711501;Noroeste de A Coruña;A Coruña;34;37;40;-1;-4;-8;80;100;140;40;80;120;15;30;60;2;5;20
711502;Oeste de A Coruña;A Coruña;34;37;40;-1;-4;-8;80;100;140;40;80;120;15;30;60;2;5;20
711503;Interior de A Coruña;A Coruña;34;37;40;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
711504;Suroeste de A Coruña;A Coruña;34;37;40;-1;-4;-8;80;100;140;40;80;120;15;30;60;2;5;20
712701;A Mariña;Lugo;34;37;40;-1;-4;-8;80;100;140;40;80;120;15;30;60;2;5;20
712702;Centro de Lugo;Lugo;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
712703;Montaña de Lugo;Lugo;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
712704;Sur de Lugo;Lugo;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
713201;Noroeste de Ourense;Ourense;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
713202;Miño de Ourense;Ourense;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
713203;Sur de Ourense;Ourense;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
713204;Montaña de Ourense;Ourense;36;39;42;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
713205;Valdeorras;Ourense;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
713601;Rias Baixas;Pontevedra;34;37;40;-1;-4;-8;80;100;140;40;80;120;15;30;60;2;5;20
713603;Miño de Pontevedra;Pontevedra;34;37;40;-1;-4;-8;80;100;140;40;80;120;15;30;60;2;5;20
722801;Sierra de Madrid;Madrid;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
722802;Metropolitana y Henares;Madrid;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
722803;"Sur, Vegas y Oeste";Madrid;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
733001;Altiplano de Murcia;Murcia;38;40;44;-4;-8;-12;70;90;130;60;100;180;15;30;60;2;5;20
733002;Noroeste de Murcia;Murcia;38;40;44;-4;-8;-12;70;90;130;60;100;180;15;30;60;2;5;20
733003;Vega del Segura;Murcia;38;40;44;-4;-8;-12;70;90;130;60;100;180;15;30;60;2;5;20
733004;"Valle del Guadalentín, Lorca y Águilas";Murcia;38;40;44;-4;-8;-12;70;90;130;60;100;180;15;30;60;2;5;20
733005;Campo de Cartagena y Mazarrón;Murcia;36;39;42;-1;-4;-8;70;90;130;60;100;180;15;30;60;2;5;20
743101;Vertiente Cantábrica de Navarra;Navarra;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
743102;Centro de Navarra;Navarra;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
743103;Pirineo navarro;Navarra;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
743104;Ribera del Ebro de Navarra;Navarra;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
750101;Cuenca del Nervión;Álava;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
750102;Llanada alavesa;Álava;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
750103;Rioja alavesa;Álava;36;39;42;-6;-10;-14;70;90;130;40;80;120;15;30;60;2;5;20
752001;Gipuzkoa litoral;Gipuzkoa;34;37;40;-1;-4;-8;90;110;140;40;80;120;15;30;60;2;5;20
752002;Gipuzkoa interior;Gipuzkoa;34;37;40;-4;-8;-12;90;110;140;40;80;120;15;30;60;2;5;20
754801;Bizkaia litoral;Bizkaia;34;37;40;-1;-4;-8;90;110;140;40;80;120;15;30;60;2;5;20
754802;Bizkaia interior;Bizkaia;34;37;40;-4;-8;-12;90;110;140;40;80;120;15;30;60;2;5;20
762601;Ribera del Ebro de La Rioja;La Rioja;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
762602;Ibérica riojana;La Rioja;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
770301;Litoral norte de Alicante;Alicante;36;39;42;-1;-4;-8;70;90;130;60;100;180;20;40;90;2;5;20
770302;Interior de Alicante;Alicante;38;40;44;-4;-8;-12;70;90;130;60;100;180;20;40;90;2;5;20
770303;Litoral sur de Alicante;Alicante;36;39;42;-1;-4;-8;70;90;130;60;100;180;20;40;90;2;5;20
771201;Interior norte de Castellón;Castellón;36;39;42;-6;-10;-14;80;100;140;60;100;180;20;40;90;5;20;40
771202;Litoral norte de Castellón;Castellón;36;39;42;-1;-4;-8;70;90;130;60;100;180;20;40;90;2;5;20
771203;Interior sur de Castellón;Castellón;36;39;42;-6;-10;-14;80;100;140;60;100;180;20;40;90;2;5;20
771204;Litoral sur de Castellón;Castellón;36;39;42;-1;-4;-8;70;90;130;60;100;180;20;40;90;2;5;20
774601;Interior norte de Valencia;Valencia;36;39;42;-6;-10;-14;80;100;140;60;100;180;20;40;90;2;5;20
774602;Litoral norte de Valencia;Valencia;36;39;42;-1;-4;-8;70;90;130;60;100;180;20;40;90;2;5;20
774604;Litoral sur de Valencia;Valencia;36;39;42;-1;-4;-8;70;90;130;60;100;180;20;40;90;2;5;20
785101;Ceuta;Ceuta;36;39;42;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
795201;Melilla;Melilla;36;39;42;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
